0;0;0;0;x;x;
1;0;0;0;Clalampsaatrea;x;
2;171;128;0;Katiolcalous;x;
3;115;0;0;Itakeica;x;
4;90;0;0;Mantinlapillai;x;
5;130;0;0;Edmorthrae;x;
6;25;0;0;Lekhelion;x;
7;100;0;5;Orchmethaonia;x;
8;212;128;7;Ereseresalous;x;
9;50;0;0;Nicokasmonia;x;
10;180;0;0;Leilepreion;x;
11;45;0;10;Iolcakrine;x;
12;232;128;11;Olbempera;x;
13;73;128;7;Gyrthapadia;x;
14;200;128;5;Maggolgera;x;
15;121;128;11;Apabaron;x;
16;210;124;9;Bythberinon;x;
17;216;128;16;Hemeknosai;x;
18;151;128;17;Kaiempoai;x;
19;193;128;18;Helooreinon;x;
20;194;128;18;Hyorestaea;x;
21;100;0;20;Chekouridus;x;
22;94;128;21;Maracyinda;x;
23;134;128;21;Leontcheaea;x;
24;20;0;20;Lecymenus;x;
25;145;128;24;Monamasai;x;
26;25;0;25;Koelessa;x;
27;166;128;26;Nichubloas;x;
28;207;128;26;besalu;x;
29;110;128;28;Lapithnympsos;x;
30;247;128;27;Mylmaida;x;
31;127;205;36;malaga;x;
32;56;128;29;Ithkimmerinon;x;
33;194;128;32;Korinthdymcia;x;
34;204;128;33;Leibeialyine;x;
35;68;128;33;Mamegalthus;x;
36;54;128;32;Oecythine;x;
37;111;128;36;Chelintherna;x;
38;168;128;36;Leichalcium;x;
39;159;128;34;Amardelphonia;x;
40;120;128;34;Idalmegthrae;x;
41;100;0;40;Methmorglia;x;
42;213;128;41;Oresdeldia;x;
43;74;128;42;Dicambrus;x;
44;76;128;41;Erythmukenlia;x;
45;180;128;44;Monakyreai;x;
46;211;128;45;Argkatarias;x;
47;150;128;46;Locchalcae;x;
48;249;128;47;Coloachosia;x;
49;212;128;48;Dorklazeia;x;
50;246;128;40;Metkyrenthos;x;
51;165;128;49;Kiephyrica;x;
52;23;128;50;Hierlapider;x;
53;248;128;52;Mylhalicthus;x;
54;96;128;53;Amargazus;x;
55;194;0;54;ciudad_real;x;
56;97;128;53;Myephum;x;
57;107;128;55;Hierkanina;x;
58;106;128;48;Didantigosse;x;
59;81;100;56;Gortamnitiri;x;
60;129;128;59;Metapmetaponeia;x;
61;182;128;59;Lefkalapium;x;
62;100;0;60;Gondemder;x;
63;189;128;61;Kimmeithina;x;
64;60;0;60;Mykourtes;x;
65;96;128;64;Amphiitathus;x;
66;135;0;65;Aendelphcia;x;
67;193;128;61;Laooenica;x;
68;61;128;64;Lamamaryita;x;
69;116;128;64;Oreleonllai;x;
70;245;128;64;Cleokatalea;x;
71;89;128;62;Nymassate;x;
72;142;128;69;Laodioresissa;x;
73;68;128;65;Lefkabica;x;
74;231;128;70;Doramphiessa;x;
75;255;128;74;Knoscoloium;x;
76;153;128;75;Helichytllai;x;
77;188;128;75;Heliamaryyra;x;
78;79;128;70;Imbastthos;x;
79;247;128;75;Aigmorsos;x;
80;238;112;32;Ithakones;x;
81;100;0;80;Lindberai;x;
82;247;116;35;Lefitine;x;
83;221;132;11;Madyerythyra;x;
84;255;0;100;Lefkacroum;x;
85;100;0;100;Hagheralia;x;
86;120;0;100;Lampmaroninda;x;
87;180;0;100;Lapithnirai;x;
88;140;0;100;Corcelapolis;x;
89;20;0;100;Neagorgthena;x;
90;0;0;100;Marempoesmos;x;
91;80;0;100;Arshelosia;x;
92;60;0;100;Cythkamarina;x;
93;131;97;20;Golgberglea;x;
94;110;0;110;Deldidsos;x;
95;228;215;67;Ialgangonia;x;
96;200;140;3;Athdelphissa;x;
97;65;69;3;Cygazdos;x;
98;238;54;39;Kannniamea;x;
99;100;0;120;Markyreniana;x;
100;248;56;17;Gournkythos;x;
101;255;0;130;Massanictes;x;
102;114;124;33;Chimegallia;x;
